Index,avg_price_per_kg
1,11.228929
2,12.898175
3,10.046478
4,8.660766
5,8.013932
6,4.61135
7,3.8218255
8,7.75779
9,9.015505
10,9.23893
11,4.6816874
12,5.706655
13,8.766249
14,4.3720536
15,4.553385
16,6.2169323
17,7.0941215
18,4.3448977
19,10.810436
20,5.967483
21,5.75365
22,4.6973042
23,5.437917
24,7.7256894
25,5.5443597
26,6.5532055
27,7.632374
28,7.8748474
29,7.5571566
30,7.1428285
31,7.840708
32,5.565087
33,9.079241
34,7.6653314
35,4.862487
36,9.965649
37,11.03422
38,11.486071
39,6.2418303
40,6.85764
41,8.188211
42,7.6036716
43,5.075828
44,6.2776623
45,5.5628085
46,5.0369964
47,5.0104136
48,5.5504193
49,6.0822124
50,4.961144
51,1.3357284
52,6.2796373
53,6.6176414
54,14.156329
55,8.93704
56,4.89256
57,11.767006
58,9.525736
59,8.470527
60,5.929626
61,8.371239
62,10.94519
63,6.0770526
64,9.608186
65,5.9881153
66,6.1304216
67,6.8533754
68,4.861714
69,5.5837173
70,7.1402664
71,5.4951296
72,4.501883
73,2.918397
74,8.340127
75,6.8776774
76,4.806329
77,6.0427985
78,9.579093
79,10.866542
80,6.301739
81,7.513768
82,5.0104136
83,6.140253
84,5.736468
85,1.1440467
86,6.0507894
87,7.181114
88,11.243738
89,4.798291
90,6.847756
91,9.657198
92,9.361238
93,7.842115
94,5.608391
95,5.962621
96,6.521334
97,8.493681
98,8.724371
99,6.9946327
100,5.5755587
101,11.8674555
102,6.3705125
103,6.0275683
104,7.6424017
105,7.1323695
106,8.543738
107,7.5885496
108,2.6930158
109,10.007693
110,4.998512
111,3.9034288
112,7.8796253
113,6.003135
114,4.177991
115,6.611742
116,10.015246
117,5.2972775
118,9.458092
119,4.455319
120,6.7364855
121,5.9055386
122,4.135226
123,9.868771
124,4.4956193
125,8.249259
126,7.482344
127,4.332819
128,9.067522
129,9.828948
130,5.851827
131,5.798701
132,5.7470512
133,9.234259
134,8.303033
135,1.2594967
136,6.3217072
137,7.8411856
138,7.5469346
139,7.7176976
140,5.5418954
141,8.058411
142,5.4838567
143,8.422884
144,4.9642844
145,9.048879
146,6.641988
147,5.471367
148,7.9866858
149,5.4232426
150,8.472079
151,10.014237
152,8.028436
153,4.6399975
154,8.261257
155,7.200818
156,11.376646
157,4.9404955
158,4.203626
159,5.968257
160,6.7193303
161,7.9758134
162,9.87468
163,6.9256234
164,8.340349
165,7.5215626
166,8.347943
167,7.872098
168,6.4226737
169,5.055947
170,7.526198
171,8.503759
172,6.895689
173,5.115397
174,11.797478
175,6.085208
176,4.811352
177,8.165259
178,5.4171224
179,6.111423
180,7.9690256
181,5.086655
182,0.21754831
183,9.392049
184,7.669045
185,7.1131067
186,0.11594215
187,5.5667663
188,9.8617525
189,6.670866
190,5.995804
191,5.398633
192,9.183062
193,4.8928847
194,4.542926
195,9.958878
196,8.630775
197,8.821062
198,6.659628
199,5.996526
200,7.4864964
201,7.652963
202,2.945401
203,7.886015
204,1.5597525
205,6.3417215
206,4.2864394
207,8.3534155
208,7.7256894
209,7.6983337
210,8.146585
211,7.279442
212,13.684825
213,5.4954863
214,6.1236954
215,9.807466
216,5.55651
217,5.943377
218,5.528135
219,11.156334
220,7.428907
221,5.591404
222,5.4084783
223,9.003325
224,11.818289
225,11.655185
226,6.6479316
227,5.647297
228,5.573697
229,8.986608
230,5.6289687
231,4.6844144
232,9.985978
233,7.7094307
234,5.4147477
235,6.618246
236,6.120686
237,8.819687
238,8.698029
239,4.381509
240,5.5946364
241,4.400616
242,5.2360363
243,6.7366877
244,8.155391
245,11.039371
246,6.9361076
247,6.1113925
248,7.6672
249,5.1811748
250,9.134636
251,7.705193
252,9.498961
253,4.686247
254,4.827201
255,6.674036
256,4.806642
257,7.079984
258,9.178973
259,9.0351715
260,8.52139
261,10.675453
262,10.60664
263,6.3417773
264,6.0872536
265,5.1121264
266,7.434893
267,4.9070115
268,6.3607936
269,4.7282257
270,6.6806717
271,8.299365
272,6.4836974
273,11.0909195
274,1.2341803
275,7.7480454
276,9.990289
277,5.2460356
278,6.607237
279,5.9596815
280,7.427543
281,5.424685
282,6.1145205
283,6.270181
284,4.243929
285,9.274972
286,4.768951
287,6.0810513
288,5.4359374
289,8.197592
290,8.463194
291,6.204874
292,5.93364
293,5.468905
294,1.2884123
295,6.62284
296,6.850582
297,8.87745
298,8.877062
299,8.0120325
300,7.005229
301,5.5560265
302,6.0670843
303,4.2353177
304,6.1562505
305,8.796776
306,9.076589
307,5.308321
308,3.8904693
309,8.278361
310,6.1607747
311,6.1632895
312,7.367024
313,5.2099447
314,8.514575
315,10.619172
316,8.661593
317,6.071728
318,5.380408
319,5.7029276
320,6.64918
321,6.135343
322,6.618653
323,4.508596
324,7.9424696
325,4.9975195
326,3.8704443
327,7.434778
328,5.739394
329,10.518952
330,7.574055
331,5.427611
332,5.513598
333,9.504588
334,5.906
335,8.172891
336,8.05605
337,8.354172
338,6.6360083
339,7.498047
340,4.3979015
341,6.800662
342,5.4452715
343,9.153329
344,6.9593697
345,9.408544
346,6.644128
347,8.971825
348,5.467743
349,8.050773
350,8.067485
351,7.4136596
352,9.578196
353,7.67436
354,8.570849
355,6.5612383
356,6.602511
357,6.0685635
358,8.782822
359,8.720843
360,8.598817
361,6.4012804
362,6.1699905
363,7.088971
364,9.084343
365,5.5094504
366,6.568777
367,7.5334096
368,7.559068
369,5.335811
370,8.957292
371,4.696697
372,6.6550527
373,6.2906485
374,9.271017
375,6.7776
376,7.2771273
377,4.7707763
378,6.170425
379,7.67436
380,7.074287
381,6.1804404
382,7.1484323
383,6.642043
384,6.8497033
385,2.688161
386,7.896055
387,5.970705
388,8.299399
389,3.3770463
390,8.818859
391,7.002818
392,6.5213084
393,9.270764
394,8.956064
395,1.4075685
396,8.575575
397,6.6767883
398,7.273174
399,7.355388
400,6.2737436
401,6.1071315
402,2.8893917
403,10.29236
404,5.0200763
405,5.737482
406,9.535141
407,4.4797125
408,7.389988
409,4.8173785
410,9.874691
411,9.821725
412,4.177991
413,6.0599666
414,8.167377
415,9.180063
416,4.6192484
417,8.392552
418,5.253745
419,10.077488
420,6.664877
421,4.0715475
422,4.9164906
423,7.9078236
424,5.2696576
425,6.599183
426,8.731733
427,8.17488
428,7.8304434
429,8.728228
430,6.83765
431,10.303615
432,8.048579
433,7.5295067
434,10.732353
435,7.112703
436,7.679801
437,4.5233126
438,5.3133984
439,5.8292613
440,6.0751204
441,7.1674
442,5.6402354
443,9.938828
444,9.831119
445,9.168837
446,10.468331
447,7.6681447
448,8.266179
449,8.758734
450,8.325
451,10.032904
452,6.693625
453,9.460111
454,8.276519
455,6.479839
456,8.081176
457,8.152157
458,8.180527
459,4.217778
460,7.577511
461,5.053675
462,8.836746
463,5.5776067
464,5.7012243
465,8.560985
466,4.16355
467,4.7913375
468,7.634941
469,5.433336
470,8.812362
471,8.035701
472,8.245177
473,5.2405086
474,5.031285
475,5.4876213
476,10.21805
477,9.343689
478,4.142346
479,7.1157084
480,5.5494814
481,4.7846556
482,7.626934
483,4.647006
484,3.4027464
485,8.189082
486,7.1931095
487,8.446344
488,3.3844485
489,3.7444143
490,4.142346
491,5.455399
492,6.979199
493,7.540383
494,7.634956
495,10.435106
496,6.462374
497,5.2226124
498,7.8921237
499,8.147476
500,8.884419
501,9.876163
502,12.498311
503,8.800304
504,9.080761
505,7.8882103
506,10.095773
507,7.278624
508,6.6411734
509,7.4963655
510,5.131837
511,8.543738
512,7.15634
513,6.279074
514,4.400616
515,7.6997137
516,8.480356
517,8.30743
518,6.0022187
519,6.8506846
520,4.697254
521,8.825552
522,4.947934
523,6.187987
524,6.533267
525,6.9494085
526,9.034644
527,7.7094307
528,2.9758453
529,4.217778
530,9.810911
531,9.845478
532,5.247772
533,8.779386
534,7.40056
535,9.497395
536,8.543738
537,7.0224795
538,5.449406
539,6.0656676
540,8.687212
541,8.032326
542,4.869629
543,7.633909
544,9.437715
545,7.818653
546,5.999801
547,8.668793
548,6.3341584
549,4.4662094
550,6.0754457
551,5.4993315
552,5.925064
553,6.0526156
554,4.7820396
555,5.4719343
556,5.142157
557,10.064422
558,6.8704343
559,4.955331
560,5.9089837
561,8.797106
562,4.528117
563,5.52286
564,5.332594
565,6.976416
566,4.2473917
567,9.301625
568,7.652963
569,8.947463
570,8.320913
571,4.768951
572,6.279074
573,9.141288
574,8.094196
575,5.1265507
576,6.211782
577,6.2947702
578,3.842009
579,7.4533653
580,11.041784
581,5.5939937
582,5.177693
583,2.9929752
584,7.142409
585,8.839201
586,8.188799
587,6.229315
588,12.829671
589,6.5401
590,7.1049724
591,7.978761
592,6.975277
593,6.245621
594,6.423337
595,6.351884
596,6.076338
597,6.6130166
598,6.6665244
599,7.0021224
600,5.646949
601,6.5972366
602,7.268114
603,10.510586
604,8.506912
605,6.943466
606,2.2719772
607,8.091522
608,4.128296
609,8.32998
610,8.928262
611,8.526473
612,8.053546
613,7.4875393
614,4.7093387
615,10.574672
616,5.5563493
617,6.576262
618,12.367423
619,5.53005
620,7.791566
621,4.6635327
622,10.015044
623,8.127921
624,5.557207
625,6.1300836
626,5.075828
627,6.152916
628,4.526849
629,6.6951714
630,6.2032633
631,5.6653395
632,7.003395
633,5.3085036
634,5.528126
635,7.1768823
636,6.1586056
637,9.44298
638,5.7638273
639,4.3188453
640,8.1235285
641,6.3341584
642,5.103253
643,8.189082
644,4.3281317
645,11.043238
646,7.2107644
647,6.6302514
648,4.356976
